chi,energy,Jc_re,Jc_im,Jc_abs,Jr
0.0,-55.60458415166543,0.0,4.894197654141328e-18,4.894197654141328e-18,2.52603399312967e-16
0.3141592653589793,-54.26774308765353,0.04883932518645253,-3.483985970265604e-17,0.04883932518645253,0.05381404021023985
0.6283185307179586,-50.37869944716222,0.08110578229157941,-5.887978636246324e-17,0.08110578229157941,0.11026122440596296
0.9424777960769379,-41.539345534312844,0.06890107111673105,1.2462435390181624e-17,0.06890107111673105,0.16906252016137271
1.2566370614359172,-31.20057516589776,0.0015178004201221304,2.3484473868521108e-18,0.0015178004201221304,0.10779879225553526
1.5707963267948966,-26.222327161857166,-0.0008661881351123423,2.835801693909878e-17,0.0008661881351123423,0.08853026305986617
1.8849555921538759,-25.06007166411584,0.0012363524762021793,-7.252272964693697e-18,0.0012363524762021793,0.13659026381861647
2.199114857512855,-24.015876006913146,-0.004166316580672866,5.3738528660956e-18,0.004166316580672866,0.11135672091870123
2.5132741228718345,-23.259351836143345,-0.008702873236058466,-1.9095068213810465e-18,0.008702873236058466,0.09032886407291368
2.827433388230814,-22.639755400402485,-0.018960453309731406,-8.70968376554022e-19,0.018960453309731406,0.09195015969858826
3.141592653589793,-22.270009188439456,-4.334841785109563e-17,-5.801229692459886e-18,4.3734878485458997e-17,2.023706953986409e-16
